year,month,day,hour,wspd,forecast
2009,9,6,13,6.25,6.357974303
2009,9,6,14,6.867000103,6.453349385
2009,9,6,15,8.567000389,6.252792035
2009,9,6,16,9.449999809,6.667932546
2009,9,6,17,9.883000374,8.036127486
2009,9,6,18,8.482999802,8.978634764
2009,9,6,19,8.5,9.111421018
2009,9,6,20,9.232999802,7.856939682
2009,9,6,21,10.31700039,7.893022177
2009,9,6,22,10.08300018,8.499523528
2009,9,6,23,11.5,9.292972019
2009,9,7,0,12.10000038,9.259683744
2009,9,7,1,10.80000019,10.64702817
2009,9,7,2,8.5,11.22875187
2009,9,7,3,12.21700001,9.940509687
2009,9,7,4,9.333000183,7.909796603
2009,9,7,5,7.050000191,11.2681801
2009,9,7,6,9.467000008,8.552401326
2009,9,7,7,9.682999611,6.829230908
2009,9,7,8,8.467000008,9.008765467
2009,9,7,9,7.150000095,9.083408096
2009,9,7,10,7.449999809,7.758065738
2009,9,7,11,4.532999992,7.013560155
2009,9,7,12,2.183000088,7.27322378
2009,9,7,13,3.683000088,5.038698817
2009,9,7,14,4.900000095,3.624748558
2009,9,7,15,4.333000183,4.361843174
2009,9,7,16,3.816999912,5.545467381
2009,9,7,17,3.433000088,4.881163967
2009,9,7,18,3.900000095,4.574649893
2009,9,7,19,5.882999897,4.258964535
2009,9,7,20,6.617000103,4.595345759
2009,9,7,21,6.816999912,5.999051008
2009,9,7,22,6.25,6.595768828
2009,9,7,23,5.75,6.662085529
2009,9,8,0,6.482999802,6.254012385
2009,9,8,1,7.683000088,5.963292191
2009,9,8,2,3.717000008,6.451915545
2009,9,8,3,2.582999945,7.338689467
2009,9,8,4,4.066999912,4.382289115
2009,9,8,5,7.982999802,4.026579056
2009,9,8,6,7.349999905,4.738190926
2009,9,8,7,7.183000088,7.421156102
2009,9,8,8,5.400000095,7.06226636
2009,9,8,9,5.949999809,7.023804223
2009,9,8,10,6.349999905,5.632689189
2009,9,8,11,5.367000103,6.184962191
2009,9,8,12,4.717000008,6.370744416
2009,9,8,13,4.433000088,5.631255349
2009,9,8,14,4.217000008,5.392975347
2009,9,8,15,5.132999897,4.959642626
2009,9,8,16,6,4.834759413
2009,9,8,17,6.566999912,5.602517666
2009,9,8,18,8.199999809,6.203160288
2009,9,8,19,8.317000389,6.590322101
2009,9,8,20,9.5,7.496453101
2009,9,8,21,7.183000088,7.613075028
